host_id,host_since,host_is_superhost,update,start_month,host_duration
1024679,2011-08-26,f,2019-05-31,8.0,2835.0
3696936,2012-09-27,t,2019-05-31,9.0,2437.0
3708687,2012-09-29,t,2019-05-31,9.0,2435.0
393905,2011-02-15,t,2019-05-31,2.0,3027.0
3718168,2012-09-30,t,2019-05-31,9.0,2434.0
3734315,2012-10-02,f,2019-05-31,10.0,2432.0
1752483,2012-02-14,f,2019-05-31,2.0,2663.0
3670905,2012-09-25,f,2019-05-31,9.0,2439.0
3742380,2012-10-03,t,2019-05-31,10.0,2431.0
3769789,2012-10-05,f,2019-05-31,10.0,2429.0
1192714,2011-09-21,t,2019-05-31,9.0,2809.0
3771151,2012-10-05,t,2019-05-31,10.0,2429.0
3771301,2012-10-05,f,2019-05-31,10.0,2429.0
3781862,2012-10-06,t,2019-05-31,10.0,2428.0
3787052,2012-10-07,f,2019-05-31,10.0,2427.0
3788833,2012-10-07,f,2019-05-31,10.0,2427.0
3150671,2012-08-03,f,2019-05-31,8.0,2492.0
3803498,2012-10-08,f,2019-05-31,10.0,2426.0
3046603,2012-07-24,f,2019-05-31,7.0,2502.0
3820555,2012-10-10,t,2019-05-31,10.0,2424.0
3787962,2012-10-07,t,2019-05-31,10.0,2427.0
3826779,2012-10-10,f,2019-05-31,10.0,2424.0
1863846,2012-03-05,f,2019-05-31,3.0,2643.0
2636934,2012-06-14,f,2019-05-31,6.0,2542.0
3835150,2012-10-11,f,2019-05-31,10.0,2423.0
3837842,2012-10-11,f,2019-05-31,10.0,2423.0
3005855,2012-07-21,f,2019-05-31,7.0,2505.0
3842518,2012-10-11,f,2019-05-31,10.0,2423.0
3842544,2012-10-11,f,2019-05-31,10.0,2423.0
1813134,2012-02-26,t,2019-05-31,2.0,2651.0
1813134,2012-02-26,t,2019-05-31,2.0,2651.0
2862517,2012-07-07,t,2019-05-31,7.0,2519.0
3901622,2012-10-17,f,2019-05-31,10.0,2417.0
3901622,2012-10-17,f,2019-05-31,10.0,2417.0
1840480,2012-03-01,t,2019-05-31,3.0,2647.0
3921737,2012-10-19,f,2019-05-31,10.0,2415.0
3924382,2012-10-19,t,2019-05-31,10.0,2415.0
3920067,2012-10-19,t,2019-05-31,10.0,2415.0
3948329,2012-10-22,f,2019-05-31,10.0,2412.0
487072,2011-04-05,f,2019-05-31,4.0,2978.0
3959374,2012-10-23,f,2019-05-31,10.0,2411.0
422239,2011-03-04,f,2019-05-31,3.0,3010.0
1348968,2011-10-29,f,2019-05-31,10.0,2771.0
3827132,2012-10-10,f,2019-05-31,10.0,2424.0
3999645,2012-10-28,f,2019-05-31,10.0,2406.0
11762795,2014-01-29,f,2019-05-31,1.0,1948.0
1795217,2012-02-22,t,2019-05-31,2.0,2655.0
4022974,2012-10-31,f,2019-05-31,10.0,2403.0
1708289,2012-02-06,f,2019-05-31,2.0,2671.0
4033615,2012-11-01,f,2019-05-31,11.0,2402.0
4035868,2012-11-01,t,2019-05-31,11.0,2402.0
4067807,2012-11-05,f,2019-05-31,11.0,2398.0
4070275,2012-11-05,f,2019-05-31,11.0,2398.0
1798491,2012-02-23,t,2019-05-31,2.0,2654.0
33551,2009-08-24,f,2019-05-31,8.0,3567.0
4094351,2012-11-08,f,2019-05-31,11.0,2395.0
1101753,2011-09-02,t,2019-05-31,9.0,2828.0
15176,2009-04-28,t,2019-05-31,4.0,3685.0
4110899,2012-11-10,f,2019-05-31,11.0,2393.0
617885,2011-05-23,t,2019-05-31,5.0,2930.0
974631,2011-08-15,f,2019-05-31,8.0,2846.0
880571,2011-07-27,f,2019-05-31,7.0,2865.0
2374829,2012-05-15,f,2019-05-31,5.0,2572.0
513142,2011-04-16,f,2019-05-31,4.0,2967.0
3894727,2012-10-16,f,2019-05-31,10.0,2418.0
4143759,2012-11-13,t,2019-05-31,11.0,2390.0
2374829,2012-05-15,f,2019-05-31,5.0,2572.0
2591334,2012-06-09,f,2019-05-31,6.0,2547.0
4162906,2012-11-15,f,2019-05-31,11.0,2388.0
4165868,2012-11-16,f,2019-05-31,11.0,2387.0
4174649,2012-11-17,f,2019-05-31,11.0,2386.0
2227467,2012-04-26,f,2019-05-31,4.0,2591.0
4218754,2012-11-22,t,2019-05-31,11.0,2381.0
419707,2011-03-02,f,2019-05-31,3.0,3012.0
578211,2011-05-11,t,2019-05-31,5.0,2942.0
2762526,2012-06-27,t,2019-05-31,6.0,2529.0
4283326,2012-11-29,f,2019-05-31,11.0,2374.0
4303621,2012-12-02,f,2019-05-31,12.0,2371.0
4307740,2012-12-02,t,2019-05-31,12.0,2371.0
3922483,2012-10-19,f,2019-05-31,10.0,2415.0
3584580,2012-09-16,f,2019-05-31,9.0,2448.0
1925259,2012-03-14,f,2019-05-31,3.0,2634.0
1732819,2012-02-10,f,2019-05-31,2.0,2667.0
4421865,2012-12-16,t,2019-05-31,12.0,2357.0
